Probe Set ID	Gene Symbol	Gene Title	Entrez Gene
TC01000247.hg.1	NA	NA	NA
TC01000248.hg.1	NA	NA	NA
TC01000250.hg.1	NA	NA	NA
TC01000251.hg.1	HTR6	5-hydroxytryptamine (serotonin) receptor 6	3362
TC01000252.hg.1	NA	NA	NA
TC01000253.hg.1	OTUD3	OTU domain containing 3	23252
TC01000254.hg.1	PLA2G5	phospholipase A2, group V	5322
TC01000255.hg.1	PLA2G2F	phospholipase A2, group IIF	64600
TC01000256.hg.1	NA	NA	NA
TC01000257.hg.1	UBXN10	UBX domain protein 10	127733
TC01000258.hg.1	NA	NA	NA
TC01000259.hg.1	VWA5B1	von Willebrand factor A domain containing 5B1	127731
TC01000260.hg.1	FAM43B	family with sequence similarity 43, member B	163933
TC01000261.hg.1	CDA	cytidine deaminase	978
TC01000262.hg.1	PINK1	PTEN induced putative kinase 1	65018
TC01000263.hg.1	NA	NA	NA
TC01000264.hg.1	NA	NA	NA
TC01000265.hg.1	NA	NA	NA
TC01000266.hg.1	NA	NA	NA
TC01000267.hg.1	LOC100506801	uncharacterized LOC100506801	100506801
TC01000268.hg.1	NA	NA	NA
TC01000269.hg.1	NA	NA	NA
TC01000270.hg.1	NA	NA	NA
TC01000271.hg.1	NA	NA	NA
TC01000272.hg.1	ALPL	alkaline phosphatase, liver/bone/kidney	249
TC01000273.hg.1	NA	NA	NA
TC01000274.hg.1	LDLRAD2	low density lipoprotein receptor class A domain containing 2	401944
TC01000275.hg.1	NA	NA	NA
TC01000277.hg.1	NA	NA	NA
TC01000278.hg.1	NA	NA	NA
TC01000279.hg.1	LINC00339	long intergenic non-protein coding RNA 339	29092
TC01000280.hg.1	CDC42	cell division cycle 42 (GTP binding protein, 25kDa)	998
TC01000281.hg.1	NA	NA	NA
TC01000282.hg.1	ZBTB40	zinc finger and BTB domain containing 40	9923
TC01000283.hg.1	NA	NA	NA
TC01000284.hg.1	EPHA8	EPH receptor A8	2046
TC01000285.hg.1	C1QA	complement component 1, q subcomponent, A chain	712
TC01000286.hg.1	C1QC	complement component 1, q subcomponent, C chain	714
TC01000287.hg.1	C1QB	complement component 1, q subcomponent, B chain	713
TC01000288.hg.1	EPHB2	EPH receptor B2	2048
TC01000289.hg.1	MIR4684	microRNA 4684	100616391
TC01000290.hg.1	NA	NA	NA
TC01000291.hg.1	NA	NA	NA
TC01000292.hg.1	KDM1A	lysine (K)-specific demethylase 1A	23028
TC01000293.hg.1	MIR3115	microRNA 3115	100422866
TC01000294.hg.1	NA	NA	NA
TC01000295.hg.1	NA	NA	NA
TC01000296.hg.1	C1orf213	chromosome 1 open reading frame 213	148898
TC01000297.hg.1	NA	NA	NA
TC01000298.hg.1	MDS2	myelodysplastic syndrome 2 translocation associated	259283
TC01000299.hg.1	RPL11	ribosomal protein L11	6135
TC01000300.hg.1	TCEB3	transcription elongation factor B (SIII), polypeptide 3 (110kDa, elongin A)	6924
TC01000301.hg.1	PITHD1	PITH (C-terminal proteasome-interacting domain of thioredoxin-like) domain containing 1	57095
TC01000302.hg.1	LYPLA2	lysophospholipase II	11313
TC01000303.hg.1	NA	NA	NA
TC01000304.hg.1	MIR378F	microRNA 378f	100616492
TC01000305.hg.1	NA	NA	NA
TC01000306.hg.1	NA	NA	NA
TC01000307.hg.1	NA	NA	NA
TC01000308.hg.1	LOC284632	uncharacterized LOC284632	284632
TC01000309.hg.1	GRHL3	grainyhead-like 3 (Drosophila)	57822
TC01000310.hg.1	NIPAL3	NIPA-like domain containing 3	57185
TC01000311.hg.1	RCAN3	RCAN family member 3	11123
TC01000312.hg.1	C1orf130	chromosome 1 open reading frame 130	400746
TC01000313.hg.1	SRRM1	serine/arginine repetitive matrix 1	10250
TC01000314.hg.1	CLIC4	chloride intracellular channel 4	25932
TC01000315.hg.1	NA	NA	NA
TC01000316.hg.1	NA	NA	NA
TC01000317.hg.1	NA	NA	NA
TC01000318.hg.1	RHD	Rh blood group, D antigen	6007
TC01000319.hg.1	TMEM50A	transmembrane protein 50A	23585
TC01000320.hg.1	NA	NA	NA
TC01000321.hg.1	NA	NA	NA
TC01000322.hg.1	TMEM57	transmembrane protein 57	55219
TC01000323.hg.1	LDLRAP1	low density lipoprotein receptor adaptor protein 1	26119
TC01000324.hg.1	NA	NA	NA
TC01000325.hg.1	MAN1C1	mannosidase, alpha, class 1C, member 1	57134
TC01000327.hg.1	NA	NA	NA
TC01000328.hg.1	NA	NA	NA
TC01000329.hg.1	NA	NA	NA
TC01000330.hg.1	NA	NA	NA
TC01000331.hg.1	NA	NA	NA
TC01000332.hg.1	EXTL1	exostoses (multiple)-like 1	2134
TC01000333.hg.1	PDIK1L	PDLIM1 interacting kinase 1 like	149420
TC01000334.hg.1	GRRP1	glycine/arginine rich protein 1	79927
TC01000335.hg.1	ZNF593	zinc finger protein 593	51042
TC01000336.hg.1	CNKSR1	connector enhancer of kinase suppressor of Ras 1	10256
TC01000337.hg.1	CATSPER4	cation channel, sperm associated 4	378807
TC01000338.hg.1	NA	NA	NA
TC01000339.hg.1	CEP85	centrosomal protein 85kDa	64793
TC01000340.hg.1	NA	NA	NA
TC01000341.hg.1	SH3BGRL3	SH3 domain binding glutamic acid-rich protein like 3	83442
TC01000342.hg.1	CD52	CD52 molecule	1043
TC01000343.hg.1	LIN28A	lin-28 homolog A (C. elegans)	79727
TC01000344.hg.1	DHDDS	dehydrodolichyl diphosphate synthase	79947
TC01000346.hg.1	NA	NA	NA
TC01000347.hg.1	RPS6KA1	ribosomal protein S6 kinase, 90kDa, polypeptide 1	6195
TC01000348.hg.1	MIR1976	microRNA 1976	100302190
TC01000349.hg.1	ARID1A	AT rich interactive domain 1A (SWI-like)	8289
TC01000350.hg.1	PIGV	phosphatidylinositol glycan anchor biosynthesis, class V	55650
TC01000351.hg.1	NA	NA	NA
TC01000352.hg.1	ZDHHC18	zinc finger, DHHC-type containing 18	84243
TC01000353.hg.1	SFN	stratifin	2810
TC01000354.hg.1	NA	NA	NA
TC01000355.hg.1	NUDC	nuclear distribution gene C homolog (A. nidulans)	10726
TC01000356.hg.1	TRNP1	TMF1-regulated nuclear protein 1	388610
TC01000357.hg.1	NA	NA	NA
TC01000358.hg.1	WDTC1	WD and tetratricopeptide repeats 1	23038
TC01000359.hg.1	TMEM222	transmembrane protein 222	84065
TC01000360.hg.1	LOC644961	actin, beta pseudogene	644961
TC01000361.hg.1	SYTL1	synaptotagmin-like 1	84958
TC01000362.hg.1	GPR3	G protein-coupled receptor 3	2827
TC01000363.hg.1	NA	NA	NA
TC01000364.hg.1	NA	NA	NA
TC01000365.hg.1	NA	NA	NA
TC01000366.hg.1	NA	NA	NA
TC01000367.hg.1	FAM76A	family with sequence similarity 76, member A	199870
TC01000368.hg.1	STX12	syntaxin 12	23673
TC01000369.hg.1	NA	NA	NA
TC01000370.hg.1	PPP1R8	protein phosphatase 1, regulatory subunit 8	5511
TC01000371.hg.1	SCARNA1	small Cajal body-specific RNA 1	677774
TC01000372.hg.1	C1orf38	chromosome 1 open reading frame 38	9473
TC01000373.hg.1	SMPDL3B	sphingomyelin phosphodiesterase, acid-like 3B	27293
TC01000374.hg.1	XKR8	XK, Kell blood group complex subunit-related family, member 8	55113
TC01000375.hg.1	ATPIF1	ATPase inhibitory factor 1	93974
TC01000377.hg.1	SESN2	sestrin 2	83667
TC01000378.hg.1	NA	NA	NA
TC01000379.hg.1	PHACTR4	phosphatase and actin regulator 4	65979
TC01000380.hg.1	NA	NA	NA
TC01000381.hg.1	NA	NA	NA
TC01000382.hg.1	NA	NA	NA
TC01000383.hg.1	NA	NA	NA
TC01000384.hg.1	TRNAU1AP	tRNA selenocysteine 1 associated protein 1	54952
TC01000385.hg.1	RAB42	RAB42, member RAS oncogene family	115273
TC01000386.hg.1	NA	NA	NA
TC01000387.hg.1	NA	NA	NA
TC01000388.hg.1	RNU11	RNA, U11 small nuclear	26824
TC01000389.hg.1	GMEB1	glucocorticoid modulatory element binding protein 1	10691
TC01000390.hg.1	NA	NA	NA
TC01000391.hg.1	YTHDF2	YTH domain family, member 2	51441
TC01000392.hg.1	OPRD1	opioid receptor, delta 1	4985
TC01000393.hg.1	NA	NA	NA
TC01000394.hg.1	EPB41	erythrocyte membrane protein band 4.1 (elliptocytosis 1, RH-linked)	2035
TC01000395.hg.1	NA	NA	NA
TC01000396.hg.1	NA	NA	NA
TC01000397.hg.1	NA	NA	NA
TC01000398.hg.1	PTPRU	protein tyrosine phosphatase, receptor type, U	10076
TC01000399.hg.1	NA	NA	NA
TC01000400.hg.1	NA	NA	NA
TC01000401.hg.1	NA	NA	NA
TC01000402.hg.1	LOC100129196	uncharacterized LOC100129196	100129196
TC01000403.hg.1	NA	NA	NA
TC01000404.hg.1	NA	NA	NA
TC01000405.hg.1	NA	NA	NA
TC01000406.hg.1	PRO0611	PRO0611 protein	28997
TC01000407.hg.1	ZCCHC17	zinc finger, CCHC domain containing 17	51538
TC01000408.hg.1	SERINC2	serine incorporator 2	347735
TC01000409.hg.1	LOC149086	arginine decarboxylase pseudogene	149086
TC01000410.hg.1	LOC284551	uncharacterized LOC284551	284551
TC01000411.hg.1	TINAGL1	tubulointerstitial nephritis antigen-like 1	64129
TC01000412.hg.1	HCRTR1	hypocretin (orexin) receptor 1	3061
TC01000413.hg.1	NA	NA	NA
TC01000414.hg.1	NA	NA	NA
TC01000415.hg.1	NA	NA	NA
TC01000416.hg.1	NA	NA	NA
TC01000417.hg.1	KHDRBS1	KH domain containing, RNA binding, signal transduction associated 1	10657
TC01000418.hg.1	TMEM39B	transmembrane protein 39B	55116
TC01000419.hg.1	NA	NA	NA
TC01000420.hg.1	TXLNA	taxilin alpha	200081
TC01000421.hg.1	CCDC28B	coiled-coil domain containing 28B	79140
TC01000422.hg.1	IQCC	IQ motif containing C	55721
TC01000423.hg.1	DCDC2B	doublecortin domain containing 2B	149069
TC01000424.hg.1	EIF3I	eukaryotic translation initiation factor 3, subunit I	8668
TC01000425.hg.1	FAM167B	family with sequence similarity 167, member B	84734
TC01000426.hg.1	LCK	lymphocyte-specific protein tyrosine kinase	3932
TC01000427.hg.1	HDAC1	histone deacetylase 1	3065
TC01000428.hg.1	NA	NA	NA
TC01000429.hg.1	TSSK3	testis-specific serine kinase 3	81629
TC01000430.hg.1	TSSK3	testis-specific serine kinase 3	81629
TC01000432.hg.1	NA	NA	NA
TC01000433.hg.1	RBBP4	retinoblastoma binding protein 4	5928
TC01000434.hg.1	KIAA1522	KIAA1522	57648
TC01000435.hg.1	S100PBP	S100P binding protein	64766
TC01000436.hg.1	HPCA	hippocalcin	3208
TC01000437.hg.1	NA	NA	NA
TC01000438.hg.1	NA	NA	NA
TC01000439.hg.1	ADC	arginine decarboxylase	113451
TC01000440.hg.1	ZNF362	zinc finger protein 362	149076
TC01000441.hg.1	NA	NA	NA
TC01000442.hg.1	NA	NA	NA
TC01000443.hg.1	ZSCAN20	zinc finger and SCAN domain containing 20	7579
TC01000444.hg.1	HMGB4	high mobility group box 4	127540
TC01000445.hg.1	LOC402779	uncharacterized LOC402779	402779
TC01000446.hg.1	NA	NA	NA
TC01000447.hg.1	C1orf94	chromosome 1 open reading frame 94	84970
TC01000448.hg.1	GJB5	gap junction protein, beta 5, 31.1kDa	2709
TC01000449.hg.1	GJB4	gap junction protein, beta 4, 30.3kDa	127534
TC01000450.hg.1	GJB3	gap junction protein, beta 3, 31kDa	2707
TC01000451.hg.1	GJA4	gap junction protein, alpha 4, 37kDa	2701
TC01000452.hg.1	NA	NA	NA
TC01000453.hg.1	NA	NA	NA
TC01000454.hg.1	ZMYM1	zinc finger, MYM-type 1	79830
TC01000455.hg.1	NA	NA	NA
TC01000456.hg.1	ZMYM4	zinc finger, MYM-type 4	9202
TC01000457.hg.1	NA	NA	NA
TC01000458.hg.1	NCDN	neurochondrin	23154
TC01000459.hg.1	TFAP2E	transcription factor AP-2 epsilon (activating enhancer binding protein 2 epsilon)	339488
TC01000460.hg.1	NA	NA	NA
TC01000461.hg.1	NA	NA	NA
TC01000462.hg.1	EIF2C4	eukaryotic translation initiation factor 2C, 4	192670
TC01000463.hg.1	EIF2C1	eukaryotic translation initiation factor 2C, 1	26523
TC01000464.hg.1	NA	NA	NA
TC01000465.hg.1	EIF2C3	eukaryotic translation initiation factor 2C, 3	192669
TC01000466.hg.1	TEKT2	tektin 2 (testicular)	27285
TC01000467.hg.1	ADPRHL2	ADP-ribosylhydrolase like 2	54936
TC01000468.hg.1	MAP7D1	MAP7 domain containing 1	55700
TC01000469.hg.1	THRAP3	thyroid hormone receptor associated protein 3	9967
TC01000471.hg.1	NA	NA	NA
TC01000472.hg.1	MIR4255	microRNA 4255	100422898
TC01000473.hg.1	NA	NA	NA
TC01000474.hg.1	ZC3H12A	zinc finger CCCH-type containing 12A	80149
TC01000475.hg.1	DNALI1	dynein, axonemal, light intermediate chain 1	7802
TC01000476.hg.1	CDCA8	cell division cycle associated 8	55143
TC01000477.hg.1	NA	NA	NA
TC01000478.hg.1	MANEAL	mannosidase, endo-alpha-like	149175
TC01000479.hg.1	C1orf122	chromosome 1 open reading frame 122	127687
TC01000480.hg.1	NA	NA	NA
TC01000481.hg.1	NA	NA	NA
TC01000482.hg.1	NA	NA	NA
TC01000483.hg.1	NA	NA	NA
TC01000484.hg.1	UTP11L	UTP11-like, U3 small nucleolar ribonucleoprotein, (yeast)	51118
TC01000485.hg.1	NA	NA	NA
TC01000486.hg.1	MIR3659	microRNA 3659	100500801
TC01000487.hg.1	NA	NA	NA
TC01000488.hg.1	NA	NA	NA
TC01000489.hg.1	NA	NA	NA
TC01000490.hg.1	NA	NA	NA
TC01000491.hg.1	AKIRIN1	akirin 1	79647
TC01000492.hg.1	NDUFS5	NADH dehydrogenase (ubiquinone) Fe-S protein 5, 15kDa (NADH-coenzyme Q reductase)	4725
